D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16
0.00E+00,3.32E-31,3.21E-30,1.23E-29,1.88E-29,-1.02E-21,8.33E-21,1.54E-21,0.00E+00,-1.71E-29,8.61E-28,5.87E-25,2.65E-25,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.25E-28,6.14E-27,2.66E-26,-3.11E-26,-3.74E-20,-1.98E-17,-9.59E-18,0.00E+00,-5.88E-31,2.72E-29,6.95E-26,-2.20E-24,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-3.22E-61,-4.39E-59,-2.28E-58,0.00E+00,0.00E+00,-3.89E-47,-4.78E-01,0.00E+00,8.86E-43,4.36E-43,2.10E-40,-2.22E-39,-1.15E-19,2.10E-16,4.67E-16
0.00E+00,-3.98E-28,-4.16E-27,5.44E-26,1.14E-25,9.17E-19,-7.37E-18,1.03E-17,0.00E+00,-4.33E-27,-1.11E-26,-1.77E-27,3.67E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.26E-29,6.78E-28,-5.70E-27,-1.19E-26,-1.19E-20,2.19E-18,1.10E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-7.62E-29,-3.04E-27,-3.65E-26,-2.74E-26,1.11E-19,-6.85E-18,2.87E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-5.09E-28,4.67E-27,1.37E-26,-7.41E-26,-1.38E-18,4.46E-18,-2.83E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.65E-28,1.01E-29,-5.52E-27,-7.30E-26,5.45E-20,-5.73E-18,-1.01E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.01E-28,1.68E-27,2.89E-26,-2.34E-26,-8.98E-19,-1.94E-18,-3.14E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,5.37E-29,1.01E-27,-1.47E-26,2.11E-26,-5.27E-19,-1.24E-17,-1.59E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-2.23E-28,-2.66E-27,2.18E-26,-1.71E-25,-1.81E-18,-6.80E-18,1.46E-17,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.89E-28,3.84E-27,1.53E-26,2.91E-26,-9.62E-19,9.53E-18,7.75E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-4.94E-29,-1.03E-27,7.97E-26,5.60E-26,7.37E-19,-4.47E-18,4.91E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,3.01E-28,7.48E-28,-4.40E-26,1.78E-25,-5.07E-19,-2.35E-17,2.54E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,8.59E-30,-1.33E-27,5.34E-27,3.80E-26,9.14E-19,3.06E-18,-3.26E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,5.37E-30,-4.87E-28,-9.16E-27,-9.66E-26,-1.20E-18,-4.45E-18,-5.07E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.03E-29,-3.48E-27,3.96E-27,-7.90E-26,2.09E-19,-1.12E-17,5.61E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-4.91E-30,-5.51E-28,5.15E-28,8.11E-27,-1.57E-19,-3.40E-18,5.94E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.28E-30,-2.05E-29,-2.94E-28,3.32E-27,-2.52E-20,2.57E-19,3.82E-20,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-4.45E-28,-1.92E-28,2.41E-26,-1.51E-25,-9.32E-19,-5.71E-20,2.32E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,3.37E-28,8.39E-27,-1.05E-26,1.44E-25,8.47E-19,-7.44E-18,7.32E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,2.29E-29,1.60E-27,1.60E-26,1.14E-25,-7.80E-19,3.85E-18,-3.15E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-2.66E-29,4.98E-28,2.95E-27,1.79E-26,3.56E-19,-1.06E-18,-1.64E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-2.42E-28,1.72E-27,-2.28E-27,1.17E-25,-8.86E-19,6.47E-18,-2.71E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-3.34E-28,-3.64E-27,-1.50E-26,-1.95E-26,-2.95E-19,-2.35E-17,-1.16E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,8.22E-29,-5.88E-29,2.23E-26,-3.27E-26,-2.66E-19,5.13E-18,1.27E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-3.87E-29,-4.42E-28,3.65E-27,-4.58E-26,-2.12E-19,4.93E-21,-3.32E-20,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.42E-28,5.98E-27,4.80E-26,2.50E-26,-7.46E-19,-2.05E-17,2.53E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.39E-28,-5.51E-28,1.59E-26,-1.00E-25,2.44E-20,-1.29E-17,-3.23E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,3.03E-28,-9.33E-27,1.02E-26,-1.85E-25,-1.58E-19,1.64E-17,-4.86E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-3.17E-29,2.52E-27,-3.03E-26,3.57E-26,1.98E-18,7.34E-18,-6.52E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.06E-28,5.32E-27,-7.23E-27,-4.92E-26,-7.74E-19,2.62E-18,-4.96E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,2.98E-28,-2.71E-28,1.29E-26,1.71E-25,8.03E-19,-8.56E-18,-2.01E-17,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-2.76E-29,-4.54E-28,-1.83E-27,-1.24E-26,-3.79E-19,1.08E-18,3.94E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-4.00E-28,-1.56E-27,-5.55E-26,2.95E-25,3.17E-20,-1.94E-17,-7.82E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-4.75E-29,-1.54E-28,7.30E-27,5.38E-28,-1.40E-19,1.20E-18,-3.59E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.14E-30,2.65E-30,1.76E-29,-4.40E-28,3.37E-21,-3.64E-20,8.13E-21,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.04E-28,7.18E-28,6.61E-27,6.46E-27,2.23E-19,-1.47E-18,1.92E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-7.67E-28,3.10E-27,-5.38E-26,-8.01E-26,-1.63E-18,1.12E-18,-6.25E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.60E-28,-1.50E-27,-3.87E-26,5.69E-26,3.21E-20,-1.14E-17,-3.35E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,2.80E-29,7.00E-28,2.85E-27,-3.13E-26,-7.60E-21,5.33E-18,-8.78E-20,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-2.31E-28,2.96E-27,3.74E-27,-1.10E-25,-1.10E-18,6.71E-18,-2.47E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.55E-28,-1.48E-27,2.68E-26,-5.59E-27,-7.88E-19,2.75E-18,1.10E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-3.29E-28,2.70E-27,-1.56E-26,-1.30E-26,-8.13E-19,2.65E-18,-2.57E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-4.05E-28,-6.22E-27,1.96E-26,-1.33E-25,-1.13E-18,4.39E-18,-7.55E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,4.92E-28,8.95E-28,-3.82E-27,-6.80E-26,-1.07E-18,6.75E-18,-4.92E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.72E-28,-4.81E-27,-2.40E-26,4.79E-26,4.72E-20,-1.18E-17,4.50E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,2.17E-28,-1.52E-27,4.82E-27,1.26E-25,-7.46E-19,4.52E-18,-4.56E-20,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.34E-28,-2.62E-27,-1.02E-26,-2.06E-26,5.70E-19,-3.63E-18,3.12E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,5.08E-29,7.00E-28,-1.11E-26,3.38E-27,-1.83E-19,-6.82E-18,-1.74E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.87E-28,-2.44E-27,-4.40E-26,-5.00E-26,-1.19E-18,-3.87E-18,1.13E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,-1.33E-28,-7.38E-28,-1.42E-26,-2.90E-26,-1.01E-18,-4.41E-18,3.89E-18,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
0.00E+00,1.36E-29,2.32E-28,9.02E-28,6.25E-27,2.17E-19,-2.54E-19,-1.15E-19,0.00E+00,8.56E-30,2.02E-29,-1.29E-27,3.80E-27,-1.08E-19,-7.57E-21,-2.09E-02
